"Use [All Store Views] Products","Use [All Store Views] Products"
"Add products","Add products"
"Add Selected Products","Add Selected Products"
Thumbnail,Thumbnail
Name,Name
Status,Status
Type,Type
SKU,SKU
Price,Price
Actions,Actions
"Add New File","Add New File"
"Attachment Type","Attachment Type"
"Mime Type","Mime Type"
"File Size","File Size"
"Created At","Created At"
"Updated At","Updated At"
Edit,Edit
"Add New Attachment","Add New Attachment"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Save Icon","Save Icon"
"Product Attachment Icon","Product Attachment Icon"
"File Extensions","File Extensions"
"Add Extension","Add Extension"
"Remove Extension","Remove Extension"
"File Extension","File Extension"
"Add New Icon","Add New Icon"
Extensions,Extensions
"Prepare Files","Prepare Files"
"You can upload your files in <b>pub/media/amasty/amfile/import/ftp</b> folder","You can upload your files in <b>pub/media/amasty/amfile/import/ftp</b> folder"
"File Id","File Id"
Extension,Extension
Visible,Visible
"Add New Files","Add New Files"
"New Import","New Import"
"Created Date","Created Date"
Continue,Continue
"Stores Configuration","Stores Configuration"
"Configurate Your Stores","Configurate Your Stores"
"Select Store Views","Select Store Views"
"Add Existing Attachments","Add Existing Attachments"
"Add New Links","Add New Links"
"Add Attachments","Add Attachments"
"Add Selected Attachments","Add Selected Attachments"
"Add Links","Add Links"
"Remove Link","Remove Link"
FileId,FileId
